Rep#,Brand,Customer Number,Customer Name,Order Number,Order Date,Invoice Number,Invoice Date,Invoice Line,Invoice Amount,Item Number,Comission %,Comission Amount,Product Type,Discount
S4011,Hekman,17536, WALMART INC %HAYNEEDLE,0470443,18/07/05,J469603,18/07/09,1,98.00,560120095,7.0,6.86,H,19.50
S4011,Hekman,17536, WALMART INC %HAYNEEDLE,0470765,18/07/11,J470060,18/07/13,1,"1,200.00",81343,7.0,84.00,H,20.00
S4011,Hekman,17536, WALMART INC %HAYNEEDLE,0470765,18/07/11,J470060,18/07/13,2,"1,292.00",81342,7.0,90.44,H,19.90
S4011,Hekman,17536, WALMART INC %HAYNEEDLE,0470963,18/07/13,J470139,18/07/16,1,500.00,23711,7.0,35.00,H,19.90
S4011,Hekman,17536, WALMART INC %HAYNEEDLE,0471021,18/07/16,J470350,18/07/17,1,955.00,23750,7.0,66.85,H,19.90
S4011,Hekman,17536, WALMART INC %HAYNEEDLE,0471003,18/07/16,J470538,18/07/19,1,85.00,27693,7.0,5.95,H,19.70
S4011,Hekman,17536, WALMART INC %HAYNEEDLE,0471020,18/07/16,J470539,18/07/19,1,257.00,12210LN,7.0,17.99,H,20.00
S4011,Hekman,17536, WALMART INC %HAYNEEDLE,0471281,18/07/20,J470759,18/07/23,1,613.00,22502,7.0,42.91,H,19.90
S4011,Hekman,17536, WALMART INC %HAYNEEDLE,0471199,18/07/19,J470877,18/07/24,1,985.00,81544,7.0,68.95,H,19.90
S4011,Hekman,17536, WALMART INC %HAYNEEDLE,0471415,18/07/24,J470957,18/07/25,1,408.00,11101,7.0,28.56,H,20.00
S4011,Hekman,17536, WALMART INC %HAYNEEDLE,0471686,18/07/30,J471249,18/07/31,1,600.00,27218,7.0,42.00,H,20.00
S4011,Hekman,17536, WALMART INC %HAYNEEDLE,0471687,18/07/30,J471250,18/07/31,1,418.00,23506,7.0,29.26,H,20.10
S4011,Hekman,17536, WALMART INC %HAYNEEDLE,0471768,18/07/31,J471251,18/07/31,1,416.00,14106,7.0,29.12,H,19.80
S4011,Hekman,17536, WALMART INC %HAYNEEDLE,0471769,18/07/31,J471259,18/07/31,1,816.00,27668,7.0,57.12,H,20.00
S4011,Hekman,18631,WAYFAIR LLC (.COM),0470290,18/06/29,J469537,18/07/05,1,390.00,27733,7.0,27.30,H,20.00
S4011,Hekman,18631,WAYFAIR LLC (.COM),0470291,18/06/29,J469538,18/07/05,1,496.00,27546,7.0,34.72,H,20.00
S4011,Hekman,18631,WAYFAIR LLC (.COM),0470293,18/06/29,J469539,18/07/05,1,402.00,14101,7.0,28.14,H,20.00
S4011,Hekman,18631,WAYFAIR LLC (.COM),0470352,18/06/29,J469540,18/07/05,1,545.00,23702,7.0,38.15,H,20.00
S4011,Hekman,18631,WAYFAIR LLC (.COM),0470372,18/06/29,J469541,18/07/05,1,439.00,27640,7.0,30.73,H,19.90
S4011,Hekman,18631,WAYFAIR LLC (.COM),0470422,18/07/05,J469602,18/07/09,1,558.00,27612,7.0,39.06,H,20.00
S4011,Hekman,18631,WAYFAIR LLC (.COM),0470351,18/06/29,J469617,18/07/09,1,118.00,23511,7.0,8.26,H,20.40
S4011,Hekman,18631,WAYFAIR LLC (.COM),0470424,18/07/05,J469618,18/07/09,1,55.00,27696,7.0,3.85,H,19.50
S4011,Hekman,18631,WAYFAIR LLC (.COM),0470425,18/07/05,J469619,18/07/09,1,287.00,23300,7.0,20.09,H,20.00
S4011,Hekman,18631,WAYFAIR LLC (.COM),0470425,18/07/05,J469619,18/07/09,2,448.00,23302,7.0,31.36,H,19.70
S4011,Hekman,18631,WAYFAIR LLC (.COM),0470380,18/07/02,J469620,18/07/09,1,491.00,22504,7.0,34.37,H,20.00
S4011,Hekman,18631,WAYFAIR LLC (.COM),0470383,18/07/02,J469621,18/07/09,1,301.00,27241,7.0,21.07,H,19.90
S4011,Hekman,18631,WAYFAIR LLC (.COM),0470405,18/07/03,J469622,18/07/09,1,301.00,27241,7.0,21.07,H,19.90
S4011,Hekman,18631,WAYFAIR LLC (.COM),0470444,18/07/05,J469623,18/07/09,1,454.00,23124,7.0,31.78,H,20.10
S4011,Hekman,18631,WAYFAIR LLC (.COM),0470504,18/07/06,J469624,18/07/09,1,135.00,23207,3.0,4.05,H,29.60
S4011,Hekman,18631,WAYFAIR LLC (.COM),0470525,18/07/06,J469625,18/07/09,1,140.00,15102,7.0,9.80,H,19.60
S4011,Hekman,18631,WAYFAIR LLC (.COM),0470529,18/07/06,J469626,18/07/09,1,640.00,81063,7.0,44.80,H,20.30
S4011,Hekman,18631,WAYFAIR LLC (.COM),0470562,18/07/09,J469627,18/07/09,1,85.00,27693,7.0,5.95,H,19.70
S4011,Hekman,18631,WAYFAIR LLC (.COM),0470368,18/06/29,J469650,18/07/09,1,691.00,79323,7.0,48.37,H,19.90
S4011,Hekman,18631,WAYFAIR LLC (.COM),0470373,18/06/29,J469651,18/07/09,1,"1,009.00",23263,7.0,70.63,H,19.90
S4011,Hekman,18631,WAYFAIR LLC (.COM),0470414,18/07/04,J469652,18/07/09,1,730.00,79143,7.0,51.10,H,20.00
S4011,Hekman,18631,WAYFAIR LLC (.COM),0470415,18/07/04,J469653,18/07/09,1,612.00,951524AV,3.0,18.36,H,29.50
S4011,Hekman,18631,WAYFAIR LLC (.COM),0470379,18/07/02,J469654,18/07/09,1,803.00,23521,7.0,56.21,H,20.00
S4011,Hekman,18631,WAYFAIR LLC (.COM),0470381,18/07/02,J469655,18/07/09,1,380.00,27761,7.0,26.60,H,19.80
S4011,Hekman,18631,WAYFAIR LLC (.COM),0470391,18/07/02,J469656,18/07/09,1,"1,292.00",81642,7.0,90.44,H,19.90
S4011,Hekman,18631,WAYFAIR LLC (.COM),0470469,18/07/06,J469657,18/07/09,1,709.00,27720,7.0,49.63,H,19.90
S4011,Hekman,18631,WAYFAIR LLC (.COM),0470470,18/07/06,J469658,18/07/09,1,515.00,17108,7.0,36.05,H,20.00
S4011,Hekman,18631,WAYFAIR LLC (.COM),0470471,18/07/06,J469659,18/07/09,1,790.00,11130,7.0,55.30,H,20.00
S4011,Hekman,18631,WAYFAIR LLC (.COM),0470472,18/07/06,J469660,18/07/09,1,503.00,27201,7.0,35.21,H,20.00
S4011,Hekman,18631,WAYFAIR LLC (.COM),0470505,18/07/06,J469661,18/07/09,1,190.00,23723,7.0,13.30,H,20.20
S4011,Hekman,18631,WAYFAIR LLC (.COM),0470382,18/07/02,J469662,18/07/09,1,515.00,27245,7.0,36.05,H,20.00
S4011,Hekman,18631,WAYFAIR LLC (.COM),0470403,18/07/03,J469663,18/07/09,1,680.00,27472,7.0,47.60,H,19.90
S4011,Hekman,18631,WAYFAIR LLC (.COM),0470404,18/07/03,J469664,18/07/09,1,416.00,14106,7.0,29.12,H,19.80
S4011,Hekman,18631,WAYFAIR LLC (.COM),0470406,18/07/03,J469665,18/07/09,1,568.00,952226KH,7.0,39.76,H,20.00
S4011,Hekman,18631,WAYFAIR LLC (.COM),0470561,18/07/09,J469666,18/07/09,1,128.00,951563AV,3.0,3.84,H,29.60
S4011,Hekman,18631,WAYFAIR LLC (.COM),0470563,18/07/09,J469667,18/07/09,1,896.00,79308,7.0,62.72,H,19.90
S4011,Hekman,18631,WAYFAIR LLC (.COM),0470564,18/07/09,J469668,18/07/09,1,827.00,27538,7.0,57.89,H,20.00
S4011,Hekman,18631,WAYFAIR LLC (.COM),0470565,18/07/09,J469669,18/07/09,1,712.00,84003,7.0,49.84,H,19.80
S4011,Hekman,18631,WAYFAIR LLC (.COM),0470565,18/07/09,J469669,18/07/09,2,"1,268.00",84002,7.0,88.76,H,20.00
S4011,Hekman,18631,WAYFAIR LLC (.COM),0470565,18/07/09,J469669,18/07/09,3,681.10,84020,3.0,20.43,H,31.60
S4011,Hekman,18631,WAYFAIR LLC (.COM),0470566,18/07/09,J469670,18/07/09,1,946.00,17150,7.0,66.22,H,20.00
S4011,Hekman,18631,WAYFAIR LLC (.COM),0470331,18/06/29,J469671,18/07/09,1,767.00,79253C,7.0,53.69,H,20.00
S4011,Hekman,18631,WAYFAIR LLC (.COM),0470560,18/07/09,J469672,18/07/09,1,427.00,23363,7.0,29.89,H,19.90
S4011,Hekman,18631,WAYFAIR LLC (.COM),0470597,18/07/09,J469732,18/07/10,1,558.00,27612,7.0,39.06,H,20.00
S4011,Hekman,18631,WAYFAIR LLC (.COM),0470599,18/07/09,J469733,18/07/10,1,766.00,81245,7.0,53.62,H,20.00
S4011,Hekman,18631,WAYFAIR LLC (.COM),0470600,18/07/09,J469734,18/07/10,1,545.00,23702,7.0,38.15,H,20.00
S4011,Hekman,18631,WAYFAIR LLC (.COM),0470684,18/07/10,J469735,18/07/10,1,767.00,79253M,7.0,53.69,H,20.00
S4011,Hekman,18631,WAYFAIR LLC (.COM),0470685,18/07/10,J469736,18/07/10,1,408.00,952264SU,7.0,28.56,H,20.00
S4011,Hekman,18631,WAYFAIR LLC (.COM),0470687,18/07/10,J469737,18/07/10,1,"1,001.00",87241,7.0,70.07,H,20.00
S4011,Hekman,18631,WAYFAIR LLC (.COM),0470688,18/07/10,J469738,18/07/10,1,930.00,17161,7.0,65.10,H,20.00
S4011,Hekman,18631,WAYFAIR LLC (.COM),0470598,18/07/09,J469754,18/07/10,1,110.00,27657,7.0,7.70,H,19.50
S4011,Hekman,18631,WAYFAIR LLC (.COM),0470734,18/07/10,J469928,18/07/11,1,462.00,12222LN,7.0,32.34,H,20.30
S4011,Hekman,18631,WAYFAIR LLC (.COM),0470766,18/07/11,J469929,18/07/11,1,151.00,17110,7.0,10.57,H,19.80
S4011,Hekman,18631,WAYFAIR LLC (.COM),0470767,18/07/11,J469930,18/07/11,1,287.00,12200LN,7.0,20.09,H,20.00
S4011,Hekman,18631,WAYFAIR LLC (.COM),0470700,18/07/10,J470009,18/07/12,1,290.00,952263SU,7.0,20.30,H,19.80
S4011,Hekman,18631,WAYFAIR LLC (.COM),0470718,18/07/10,J470010,18/07/12,1,977.00,23520,7.0,68.39,H,20.00
S4011,Hekman,18631,WAYFAIR LLC (.COM),0470768,18/07/11,J470011,18/07/12,1,893.00,27102,7.0,62.51,H,20.00
S4011,Hekman,18631,WAYFAIR LLC (.COM),0467304,18/05/03,J470012,18/07/12,1,431.00,27591,7.0,30.17,H,20.00
S4011,Hekman,18631,WAYFAIR LLC (.COM),0467536,18/05/07,J470013,18/07/12,1,431.00,27591,7.0,30.17,H,20.00
S4011,Hekman,18631,WAYFAIR LLC (.COM),0470945,18/07/13,J470121,18/07/16,1,807.00,17103,7.0,56.49,H,20.00
S4011,Hekman,18631,WAYFAIR LLC (.COM),0470879,18/07/12,J470219,18/07/16,1,209.00,23506,7.0,14.63,H,20.10
S4011,Hekman,18631,WAYFAIR LLC (.COM),0470965,18/07/13,J470220,18/07/16,1,209.00,23506,7.0,14.63,H,20.10
S4011,Hekman,18631,WAYFAIR LLC (.COM),0471004,18/07/16,J470223,18/07/16,1,79.00,82203B,3.0,2.37,H,36.80
S4011,Hekman,18631,WAYFAIR LLC (.COM),0471006,18/07/16,J470224,18/07/16,1,102.00,27763,7.0,7.14,H,20.00
S4011,Hekman,18631,WAYFAIR LLC (.COM),0470877,18/07/12,J470225,18/07/16,1,816.00,23722,7.0,57.12,H,20.00
S4011,Hekman,18631,WAYFAIR LLC (.COM),0470686,18/07/10,J470364,18/07/17,1,253.00,23704,7.0,17.71,H,19.90
S4011,Hekman,18631,WAYFAIR LLC (.COM),0463845,18/03/06,J470365,18/07/17,1,977.00,71109,7.0,68.39,H,20.00
S4011,Hekman,18631,WAYFAIR LLC (.COM),0470977,18/07/13,J470366,18/07/17,1,444.00,23709,7.0,31.08,H,20.00
S4011,Hekman,18631,WAYFAIR LLC (.COM),0471005,18/07/16,J470367,18/07/17,1,272.00,27744,7.0,19.04,H,19.80
S4011,Hekman,18631,WAYFAIR LLC (.COM),0470956,18/07/13,J470368,18/07/17,1,568.00,952226KH,7.0,39.76,H,20.00
S4011,Hekman,18631,WAYFAIR LLC (.COM),0471072,18/07/17,J470369,18/07/17,1,439.00,27640,7.0,30.73,H,19.90
S4011,Hekman,18631,WAYFAIR LLC (.COM),0471074,18/07/17,J470370,18/07/17,1,908.00,27300,7.0,63.56,H,19.90
S4011,Hekman,18631,WAYFAIR LLC (.COM),0471135,18/07/18,J470494,18/07/18,1,515.00,17108,7.0,36.05,H,20.00
S4011,Hekman,18631,WAYFAIR LLC (.COM),0471136,18/07/18,J470495,18/07/18,1,445.00,27609,7.0,31.15,H,19.90
S4011,Hekman,18631,WAYFAIR LLC (.COM),0471071,18/07/17,J470522,18/07/18,1,55.00,27696,7.0,3.85,H,19.50
S4011,Hekman,18631,WAYFAIR LLC (.COM),0471073,18/07/17,J470523,18/07/18,1,144.00,23105,7.0,10.08,H,20.00
S4011,Hekman,18631,WAYFAIR LLC (.COM),0471137,18/07/18,J470524,18/07/18,1,217.00,27687,7.0,15.19,H,19.80
S4011,Hekman,18631,WAYFAIR LLC (.COM),0471138,18/07/18,J470525,18/07/18,1,55.00,27696,7.0,3.85,H,19.50
S4011,Hekman,18631,WAYFAIR LLC (.COM),0471139,18/07/18,J470526,18/07/18,1,200.00,27453,7.0,14.00,H,19.70
S4011,Hekman,18631,WAYFAIR LLC (.COM),0471152,18/07/18,J470584,18/07/19,1,245.00,23504,7.0,17.15,H,20.00
S4011,Hekman,18631,WAYFAIR LLC (.COM),0471201,18/07/19,J470587,18/07/19,1,491.00,22504,7.0,34.37,H,20.00
S4011,Hekman,18631,WAYFAIR LLC (.COM),0471301,18/07/23,J470760,18/07/23,1,144.00,23105,7.0,10.08,H,20.00
S4011,Hekman,18631,WAYFAIR LLC (.COM),0471305,18/07/23,J470761,18/07/23,1,209.00,23506,7.0,14.63,H,20.10
S4011,Hekman,18631,WAYFAIR LLC (.COM),0471306,18/07/23,J470762,18/07/23,1,154.00,27647,7.0,10.78,H,20.30
S4011,Hekman,18631,WAYFAIR LLC (.COM),0471307,18/07/23,J470763,18/07/23,1,292.00,23102,7.0,20.44,H,20.10
S4011,Hekman,18631,WAYFAIR LLC (.COM),0471308,18/07/23,J470764,18/07/23,1,118.00,23511,7.0,8.26,H,20.40
S4011,Hekman,18631,WAYFAIR LLC (.COM),0465013,18/03/27,J470766,18/07/23,1,"1,916.00",22504,7.0,134.12,H,20.00
S4011,Hekman,18631,WAYFAIR LLC (.COM),0465013,18/03/27,J470766,18/07/23,2,"1,516.00",22414,7.0,106.12,H,19.90
S4011,Hekman,18631,WAYFAIR LLC (.COM),0471202,18/07/19,J470767,18/07/23,1,545.00,23702,7.0,38.15,H,20.00
S4011,Hekman,18631,WAYFAIR LLC (.COM),0471202,18/07/19,J470767,18/07/23,2,341.00,23703,7.0,23.87,H,20.00
S4011,Hekman,18631,WAYFAIR LLC (.COM),0471118,18/07/17,J470768,18/07/23,1,644.00,23529,7.0,45.08,H,19.90
S4011,Hekman,18631,WAYFAIR LLC (.COM),0471219,18/07/19,J470769,18/07/23,1,377.00,27732,7.0,26.39,H,20.00
