Rep#,Brand,Customer Number,Customer Name,Order Number,Order Date,Invoice Number,Invoice Date,Invoice Line,Invoice Amount,Item Number,Comission %,Comission Amount,Product Type,Discount
S4011,Hekman,18631,WAYFAIR LLC (.COM),0471221,18/07/19,J470770,18/07/23,1,773.00,11120,7.0,54.11,H,20.00
S4011,Hekman,18631,WAYFAIR LLC (.COM),0471221,18/07/19,J470770,18/07/23,2,"1,538.00",22523,7.0,107.66,H,19.90
S4011,Hekman,18631,WAYFAIR LLC (.COM),0471263,18/07/20,J470771,18/07/23,1,439.00,27640,7.0,30.73,H,19.90
S4011,Hekman,18631,WAYFAIR LLC (.COM),0471220,18/07/19,J470772,18/07/23,1,445.00,27609,7.0,31.15,H,19.90
S4011,Hekman,18631,WAYFAIR LLC (.COM),0471236,18/07/19,J470773,18/07/23,1,445.00,27609,7.0,31.15,H,19.90
S4011,Hekman,18631,WAYFAIR LLC (.COM),0471264,18/07/20,J470774,18/07/23,1,681.00,84020,3.0,20.43,H,31.70
S4011,Hekman,18631,WAYFAIR LLC (.COM),0471264,18/07/20,J470774,18/07/23,2,"1,268.00",84002,7.0,88.76,H,20.00
S4011,Hekman,18631,WAYFAIR LLC (.COM),0471264,18/07/20,J470774,18/07/23,3,712.00,84003,7.0,49.84,H,19.80
S4011,Hekman,18631,WAYFAIR LLC (.COM),0471235,18/07/19,J470775,18/07/23,1,"1,189.00",81223,7.0,83.23,H,19.90
S4011,Hekman,18631,WAYFAIR LLC (.COM),0471262,18/07/20,J470776,18/07/23,1,934.00,12250LN,7.0,65.38,H,20.00
S4011,Hekman,18631,WAYFAIR LLC (.COM),0471265,18/07/20,J470777,18/07/23,1,"1,079.00",81641,7.0,75.53,H,20.00
S4011,Hekman,18631,WAYFAIR LLC (.COM),0471299,18/07/23,J470778,18/07/23,1,307.00,27688,7.0,21.49,H,19.90
S4011,Hekman,18631,WAYFAIR LLC (.COM),0471300,18/07/23,J470779,18/07/23,1,204.00,952264SU,7.0,14.28,H,20.00
S4011,Hekman,18631,WAYFAIR LLC (.COM),0471302,18/07/23,J470780,18/07/23,1,"1,004.00",27445,7.0,70.28,H,19.90
S4011,Hekman,18631,WAYFAIR LLC (.COM),0471304,18/07/23,J470781,18/07/23,1,568.00,952226KH,7.0,39.76,H,20.00
S4011,Hekman,18631,WAYFAIR LLC (.COM),0471309,18/07/23,J470782,18/07/23,1,901.00,27299,7.0,63.07,H,19.90
S4011,Hekman,18631,WAYFAIR LLC (.COM),0471303,18/07/23,J470844,18/07/24,1,149.00,27766,7.0,10.43,H,20.10
S4011,Hekman,18631,WAYFAIR LLC (.COM),0466790,18/04/25,J470871,18/07/24,1,628.00,27673,7.0,43.96,H,20.00
S4011,Hekman,18631,WAYFAIR LLC (.COM),0467051,18/04/30,J470872,18/07/24,1,628.00,27673,7.0,43.96,H,20.00
S4011,Hekman,18631,WAYFAIR LLC (.COM),0467425,18/05/04,J470873,18/07/24,1,628.00,27673,7.0,43.96,H,20.00
S4011,Hekman,18631,WAYFAIR LLC (.COM),0471384,18/07/24,J470874,18/07/24,1,337.00,27685,7.0,23.59,H,19.90
S4011,Hekman,18631,WAYFAIR LLC (.COM),0471386,18/07/24,J470875,18/07/24,1,324.00,16107,7.0,22.68,H,20.00
S4011,Hekman,18631,WAYFAIR LLC (.COM),0471386,18/07/24,J470875,18/07/24,2,224.00,16106,7.0,15.68,H,19.70
S4011,Hekman,18631,WAYFAIR LLC (.COM),0471386,18/07/24,J470875,18/07/24,3,210.00,16110,7.0,14.70,H,20.00
S4011,Hekman,18631,WAYFAIR LLC (.COM),0471385,18/07/24,J470922,18/07/24,1,580.00,952263SU,7.0,40.60,H,19.80
S4011,Hekman,18631,WAYFAIR LLC (.COM),0471404,18/07/24,J470958,18/07/25,1,245.00,23504,7.0,17.15,H,20.00
S4011,Hekman,18631,WAYFAIR LLC (.COM),0471443,18/07/25,J470959,18/07/25,1,301.00,27241,7.0,21.07,H,19.90
S4011,Hekman,18631,WAYFAIR LLC (.COM),0471447,18/07/25,J470960,18/07/25,1,301.00,27241,7.0,21.07,H,19.90
S4011,Hekman,18631,WAYFAIR LLC (.COM),0471377,18/07/23,J470974,18/07/25,1,568.00,952226KH,7.0,39.76,H,20.00
S4011,Hekman,18631,WAYFAIR LLC (.COM),0471416,18/07/24,J470975,18/07/25,1,439.00,27640,7.0,30.73,H,19.90
S4011,Hekman,18631,WAYFAIR LLC (.COM),0471442,18/07/25,J470976,18/07/25,1,667.00,79252C,7.0,46.69,H,19.90
S4011,Hekman,18631,WAYFAIR LLC (.COM),0471446,18/07/25,J470977,18/07/25,1,908.00,27300,7.0,63.56,H,19.90
S4011,Hekman,18631,WAYFAIR LLC (.COM),0471444,18/07/25,J470978,18/07/25,1,628.00,27673,7.0,43.96,H,20.00
S4011,Hekman,18631,WAYFAIR LLC (.COM),0471405,18/07/24,J470985,18/07/25,1,439.00,27640,7.0,30.73,H,19.90
S4011,Hekman,18631,WAYFAIR LLC (.COM),0471378,18/07/23,J471044,18/07/26,1,118.00,23511,7.0,8.26,H,20.40
S4011,Hekman,18631,WAYFAIR LLC (.COM),0471511,18/07/26,J471049,18/07/26,1,545.00,23702,7.0,38.15,H,20.00
S4011,Hekman,18631,WAYFAIR LLC (.COM),J469655,,H043249,18/07/30,1,380.00-,27761,7.0,-26.60,H,19.80
S4011,Hekman,18631,WAYFAIR LLC (.COM),0471569,18/07/27,J471144,18/07/30,1,946.00,17150,7.0,66.22,H,20.00
S4011,Hekman,18631,WAYFAIR LLC (.COM),0471583,18/07/27,J471159,18/07/30,1,314.00,11104,7.0,21.98,H,19.80
S4011,Hekman,18631,WAYFAIR LLC (.COM),0471688,18/07/30,J471165,18/07/30,1,292.00,23102,7.0,20.44,H,20.10
S4011,Hekman,18631,WAYFAIR LLC (.COM),0471689,18/07/30,J471166,18/07/30,1,151.00,17110,7.0,10.57,H,19.80
S4011,Hekman,18631,WAYFAIR LLC (.COM),0471693,18/07/30,J471167,18/07/30,1,454.00,951313MW,7.0,31.78,H,20.10
S4011,Hekman,18631,WAYFAIR LLC (.COM),0471695,18/07/30,J471168,18/07/30,1,209.00,23506,7.0,14.63,H,20.10
S4011,Hekman,18631,WAYFAIR LLC (.COM),0471632,18/07/27,J471169,18/07/30,1,628.00,11104,7.0,43.96,H,19.80
S4011,Hekman,18631,WAYFAIR LLC (.COM),0471692,18/07/30,J471170,18/07/30,1,628.00,11104,7.0,43.96,H,19.80
S4011,Hekman,18631,WAYFAIR LLC (.COM),0471543,18/07/26,J471177,18/07/30,1,55.00,27696,7.0,3.85,H,19.50
S4011,Hekman,18631,WAYFAIR LLC (.COM),0471694,18/07/30,J471242,18/07/31,1,445.00,27609,7.0,31.15,H,19.90
S4011,Hekman,18631,WAYFAIR LLC (.COM),0471770,18/07/31,J471253,18/07/31,1,224.00,14118,7.0,15.68,H,19.70
S4011,Hekman,19406,RENEGADE FURNITURE GROUP INC (.COM),0469485,18/06/12,J469518,18/07/05,1,"1,079.00",81641,7.0,75.53,H,20.00
S4011,Hekman,19406,RENEGADE FURNITURE GROUP INC (.COM),0471050,18/07/16,J470440,18/07/18,1,730.00,79143,7.0,51.10,H,20.00
S4011,Hekman,19406,RENEGADE FURNITURE GROUP INC (.COM),0471050,18/07/16,J470440,18/07/18,2,"1,368.00",79140,7.0,95.76,H,20.00
S4011,Hekman,19406,RENEGADE FURNITURE GROUP INC (.COM),0471111,18/07/17,J470808,18/07/24,1,628.00,27673,7.0,43.96,H,20.00
S4011,Hekman,19406,RENEGADE FURNITURE GROUP INC (.COM),0470267,18/06/28,J470809,18/07/24,1,628.00,27673,7.0,43.96,H,20.00
S4011,Hekman,19406,RENEGADE FURNITURE GROUP INC (.COM),0470790,18/07/11,J470810,18/07/24,1,628.00,27673,7.0,43.96,H,20.00
S4011,Hekman,19406,RENEGADE FURNITURE GROUP INC (.COM),0467947,18/05/15,J470829,18/07/24,1,628.00,27673,7.0,43.96,H,20.00
S4011,Hekman,19406,RENEGADE FURNITURE GROUP INC (.COM),0468112,18/05/17,J470830,18/07/24,1,628.00,27673,7.0,43.96,H,20.00
S4011,Hekman,19406,RENEGADE FURNITURE GROUP INC (.COM),0470486,18/07/06,J470861,18/07/24,1,628.00,27673,7.0,43.96,H,20.00
S4011,Hekman,19406,RENEGADE FURNITURE GROUP INC (.COM),0471463,18/07/25,J471048,18/07/26,1,55.00,27696,7.0,3.85,H,19.50
S4011,Hekman,19406,RENEGADE FURNITURE GROUP INC (.COM),0471517,18/07/26,J471069,18/07/27,1,628.00,27673,7.0,43.96,H,20.00
S4011,Hekman,19406,RENEGADE FURNITURE GROUP INC (.COM),0471518,18/07/26,J471077,18/07/27,1,916.00,79163,7.0,64.12,H,20.00
S4011,Hekman,19625,HOUZZ INC/HOUZZ.COM,0471007,18/07/16,J470349,18/07/17,1,282.00,27537,7.0,19.74,H,20.00
S4011,Hekman,19625,HOUZZ INC/HOUZZ.COM,0469676,18/06/15,J470111,18/07/13,1,228.00,7264B,5.0,11.40,W,
S4011,Hekman,,,0470155,18/06/26,J470614,18/07/19,1,243.00,7256F,5.0,12.15,W,
S4011,Hekman,,,0470947,18/07/13,J470106,18/07/13,1,"1,391.66",79270,7.0,97.41,H,8.30
S4011,Hekman,,,0471162,18/07/18,J470589,18/07/19,1,193.80,952264SU,7.0,13.56,H,14.00
S4011,Hekman,19850,MXG GROUP (SEATTLE),0470396,18/07/02,J469743,18/07/10,1,340.00,27841,7.0,23.80,H,
S4011,Hekman,,,0470396,18/07/02,J469743,18/07/10,2,454.00,27842,7.0,31.78,H,
S4011,Hekman,,,0470396,18/07/02,J469743,18/07/10,3,151.00,27459,7.0,10.57,H,
S4011,Hekman,,,0470474,18/07/06,J469744,18/07/10,1,596.00,23305,7.0,41.72,H,
S4011,Hekman,,,0471514,18/07/26,J471261,18/07/31,1,821.00,81544,7.0,57.47,H,
S4011,Hekman,,,0471535,18/07/26,J471262,18/07/31,1,454.00,23702,7.0,31.78,H,
S4011,Hekman,,,0470397,18/07/02,J471260,18/07/31,1,339.15,27664,6.0,20.34,H,5.00
S4011,Hekman,,,0470124,18/06/26,J469742,18/07/10,1,"1,245.00",79170,7.0,87.15,H,
S4011,Hekman,,,0470479,18/07/06,J470175,18/07/16,1,557.00,12221LN,7.0,38.99,H,
S4011,Hekman,,,0466695,18/04/24,J470306,18/07/17,1,340.00,23763,7.0,23.80,H,
S4011,Hekman,,,0466695,18/04/24,J470306,18/07/17,4,301.00,23764,7.0,21.07,H,
S4011,Hekman,,,0469279,18/06/07,J470308,18/07/17,1,796.00,23750,7.0,55.72,H,
S4011,Hekman,,,0471128,18/07/17,J470890,18/07/24,2,314.00,942503RH,7.0,21.98,H,
S4011,Hekman,,,0471128,18/07/17,J470890,18/07/24,3,540.00,942504RH,7.0,37.80,H,
S4011,Hekman,,,0471203,18/07/19,J470891,18/07/24,1,"1,095.00",79144,7.0,76.65,H,
S4011,Hekman,,,0471203,18/07/19,J470891,18/07/24,2,"1,529.00",79147,7.0,107.03,H,
S4011,Hekman,,,0470816,18/07/11,J470307,18/07/17,1,251.00,27241,7.0,17.57,H,
S4011,Hekman,,,0470979,18/07/13,J470889,18/07/24,1,606.10,81245,6.0,36.36,H,5.00
S4011,Hekman,,,0470482,18/07/06,J470174,18/07/16,1,161.00,27153,7.0,11.27,H,
S4011,Hekman,19976,BUILD.COM INC,0470298,18/06/29,J469532,18/07/05,1,767.00,79253B,7.0,53.69,H,20.00
S4011,Hekman,19976,BUILD.COM INC,0470437,18/07/05,J469675,18/07/09,1,"1,049.00",23560,7.0,73.43,H,20.00
S4011,Hekman,19976,BUILD.COM INC,0470549,18/07/08,J469750,18/07/10,1,55.00,27696,7.0,3.85,H,19.50
S4011,Hekman,19976,BUILD.COM INC,0470550,18/07/08,J469751,18/07/10,1,55.00,27696,7.0,3.85,H,19.50
S4011,Hekman,19976,BUILD.COM INC,0470551,18/07/08,J469752,18/07/10,1,431.00,27541,7.0,30.17,H,20.00
S4011,Hekman,19976,BUILD.COM INC,0470552,18/07/08,J469753,18/07/10,1,287.00,23300,7.0,20.09,H,20.00
S4011,Hekman,19976,BUILD.COM INC,0470681,18/07/09,J469925,18/07/11,1,667.00,79252C,7.0,46.69,H,19.90
S4011,Hekman,19976,BUILD.COM INC,0470727,18/07/10,J469926,18/07/11,1,415.00,943711CP,7.0,29.05,H,19.90
S4011,Hekman,19976,BUILD.COM INC,0470728,18/07/10,J469927,18/07/11,1,408.00,23701,7.0,28.56,H,20.00
S4011,Hekman,19976,BUILD.COM INC,0470955,18/07/13,J470221,18/07/16,1,55.00,27696,7.0,3.85,H,19.50
S4011,Hekman,19976,BUILD.COM INC,0471027,18/07/16,J470311,18/07/17,1,253.00,23704,7.0,17.71,H,19.90
S4011,Hekman,19976,BUILD.COM INC,0471028,18/07/16,J470312,18/07/17,1,162.00,27748,7.0,11.34,H,20.00
S4011,Hekman,19976,BUILD.COM INC,0471025,18/07/16,J470383,18/07/17,1,490.00,23504,7.0,34.30,H,20.00
S4011,Hekman,19976,BUILD.COM INC,0471025,18/07/16,J470383,18/07/17,2,980.00,23527,7.0,68.60,H,19.90
S4011,Hekman,19976,BUILD.COM INC,0471025,18/07/16,J470383,18/07/17,3,497.00,23502,7.0,34.79,H,20.00
S4011,Hekman,19976,BUILD.COM INC,0471025,18/07/16,J470383,18/07/17,4,"1,121.00",23528,7.0,78.47,H,20.00
S4011,Hekman,19976,BUILD.COM INC,0471026,18/07/16,J470384,18/07/18,1,732.00,81640,7.0,51.24,H,20.00
S4011,Hekman,19976,BUILD.COM INC,0471273,18/07/20,J470842,18/07/24,1,767.00,79253C,7.0,53.69,H,20.00
S4011,Hekman,19976,BUILD.COM INC,0471295,18/07/21,J470843,18/07/24,1,156.00,27695,7.0,10.92,H,20.00
S4011,Hekman,19976,BUILD.COM INC,0471295,18/07/21,J470843,18/07/24,2,110.00,27696,7.0,7.70,H,19.50
S4011,Hekman,19976,BUILD.COM INC,0471296,18/07/23,J470921,18/07/24,1,"1,306.00",27336,7.0,91.42,H,20.00
S4011,Hekman,19976,BUILD.COM INC,0471382,18/07/23,J471045,18/07/26,1,445.00,27609,7.0,31.15,H,19.90
S4011,Hekman,19976,BUILD.COM INC,0471414,18/07/24,J471046,18/07/26,1,667.00,79252M,7.0,46.69,H,19.90
S4011,Hekman,19976,BUILD.COM INC,0471434,18/07/24,J471047,18/07/26,1,"1,536.00",87236,7.0,107.52,H,20.00
S4011,Hekman,19976,BUILD.COM INC,0471434,18/07/24,J471047,18/07/26,2,896.00,87237,7.0,62.72,H,20.10
S4011,Hekman,19976,BUILD.COM INC,0471580,18/07/27,J471160,18/07/30,1,78.00,27695,7.0,5.46,H,20.00
S4011,Hekman,19976,BUILD.COM INC,0471593,18/07/27,J471161,18/07/30,1,709.00,27720,7.0,49.63,H,19.90
S4011,Hekman,19976,BUILD.COM INC,0471597,18/07/27,J471162,18/07/30,1,377.00,27731,7.0,26.39,H,20.00
S4011,Hekman,19976,BUILD.COM INC,0471435,18/07/24,J471224,18/07/30,1,"1,004.00",23326,7.0,70.28,H,19.90
S4011,Hekman,19976,BUILD.COM INC,0471581,18/07/27,J471225,18/07/30,1,"1,722.00",704180067,7.0,120.54,H,20.00
